year,week,loc,state,country,loc_type,number,event
1927,48,IOWA,IA,US,STATE,3,CASES
1927,49,IOWA,IA,US,STATE,12,CASES
1927,51,IOWA,IA,US,STATE,6,CASES
1927,52,IOWA,IA,US,STATE,4,CASES
1928,1,IOWA,IA,US,STATE,4,CASES
1928,4,IOWA,IA,US,STATE,86,CASES
1928,5,IOWA,IA,US,STATE,75,CASES
1928,6,IOWA,IA,US,STATE,65,CASES
1928,7,IOWA,IA,US,STATE,56,CASES
1928,8,IOWA,IA,US,STATE,65,CASES
1928,9,IOWA,IA,US,STATE,16,CASES
1928,10,IOWA,IA,US,STATE,36,CASES
1928,11,IOWA,IA,US,STATE,29,CASES
1928,12,IOWA,IA,US,STATE,36,CASES
1928,13,IOWA,IA,US,STATE,55,CASES
1928,14,IOWA,IA,US,STATE,25,CASES
1928,15,IOWA,IA,US,STATE,31,CASES
1928,16,IOWA,IA,US,STATE,31,CASES
1928,17,IOWA,IA,US,STATE,18,CASES
1928,19,IOWA,IA,US,STATE,18,CASES
1928,22,IOWA,IA,US,STATE,9,CASES
1928,24,IOWA,IA,US,STATE,11,CASES
1928,26,IOWA,IA,US,STATE,9,CASES
1928,27,IOWA,IA,US,STATE,6,CASES
1928,28,IOWA,IA,US,STATE,7,CASES
1928,29,IOWA,IA,US,STATE,3,CASES
1928,30,IOWA,IA,US,STATE,5,CASES
1928,31,IOWA,IA,US,STATE,6,CASES
1928,40,IOWA,IA,US,STATE,0,CASES
1929,5,IOWA,IA,US,STATE,16,CASES
1929,9,IOWA,IA,US,STATE,7,CASES
1929,10,IOWA,IA,US,STATE,17,CASES
1929,11,IOWA,IA,US,STATE,16,CASES
1929,12,IOWA,IA,US,STATE,57,CASES
1929,13,IOWA,IA,US,STATE,84,CASES
1929,14,IOWA,IA,US,STATE,26,CASES
1929,15,IOWA,IA,US,STATE,83,CASES
1929,16,IOWA,IA,US,STATE,57,CASES
1929,17,IOWA,IA,US,STATE,32,CASES
1929,18,IOWA,IA,US,STATE,28,CASES
1929,19,IOWA,IA,US,STATE,85,CASES
1929,20,IOWA,IA,US,STATE,80,CASES
1929,21,IOWA,IA,US,STATE,96,CASES
1929,22,IOWA,IA,US,STATE,53,CASES
1929,23,IOWA,IA,US,STATE,62,CASES
1929,24,IOWA,IA,US,STATE,46,CASES
1929,25,IOWA,IA,US,STATE,74,CASES
1929,26,IOWA,IA,US,STATE,52,CASES
1929,27,IOWA,IA,US,STATE,27,CASES
1929,28,IOWA,IA,US,STATE,21,CASES
1929,29,IOWA,IA,US,STATE,16,CASES
1929,30,IOWA,IA,US,STATE,9,CASES
1929,31,IOWA,IA,US,STATE,13,CASES
1929,32,IOWA,IA,US,STATE,9,CASES
1929,33,IOWA,IA,US,STATE,7,CASES
1929,34,IOWA,IA,US,STATE,14,CASES
1929,35,IOWA,IA,US,STATE,4,CASES
1929,36,IOWA,IA,US,STATE,2,CASES
1929,37,IOWA,IA,US,STATE,2,CASES
1929,38,IOWA,IA,US,STATE,2,CASES
1929,39,IOWA,IA,US,STATE,17,CASES
1929,40,IOWA,IA,US,STATE,2,CASES
1929,41,IOWA,IA,US,STATE,11,CASES
1929,42,IOWA,IA,US,STATE,6,CASES
1929,43,IOWA,IA,US,STATE,71,CASES
1929,44,IOWA,IA,US,STATE,22,CASES
1929,45,IOWA,IA,US,STATE,37,CASES
1929,46,IOWA,IA,US,STATE,43,CASES
1929,47,IOWA,IA,US,STATE,83,CASES
1929,48,IOWA,IA,US,STATE,78,CASES
1929,49,IOWA,IA,US,STATE,107,CASES
1929,50,IOWA,IA,US,STATE,171,CASES
1929,51,IOWA,IA,US,STATE,134,CASES
1929,52,IOWA,IA,US,STATE,162,CASES
1930,1,IOWA,IA,US,STATE,152,CASES
1930,2,IOWA,IA,US,STATE,253,CASES
1930,3,IOWA,IA,US,STATE,165,CASES
1930,4,IOWA,IA,US,STATE,295,CASES
1930,5,IOWA,IA,US,STATE,342,CASES
1930,6,IOWA,IA,US,STATE,461,CASES
1930,7,IOWA,IA,US,STATE,496,CASES
1930,8,IOWA,IA,US,STATE,732,CASES
1930,9,IOWA,IA,US,STATE,776,CASES
1930,10,IOWA,IA,US,STATE,690,CASES
1930,11,IOWA,IA,US,STATE,624,CASES
1930,12,IOWA,IA,US,STATE,462,CASES
1930,13,IOWA,IA,US,STATE,603,CASES
1930,14,IOWA,IA,US,STATE,512,CASES
1930,15,IOWA,IA,US,STATE,362,CASES
1930,16,IOWA,IA,US,STATE,427,CASES
1930,17,IOWA,IA,US,STATE,453,CASES
1930,18,IOWA,IA,US,STATE,358,CASES
1930,19,IOWA,IA,US,STATE,196,CASES
1930,20,IOWA,IA,US,STATE,478,CASES
1930,21,IOWA,IA,US,STATE,293,CASES
1930,22,IOWA,IA,US,STATE,167,CASES
1930,23,IOWA,IA,US,STATE,166,CASES
1930,24,IOWA,IA,US,STATE,87,CASES
1930,25,IOWA,IA,US,STATE,63,CASES
1930,26,IOWA,IA,US,STATE,51,CASES
1930,27,IOWA,IA,US,STATE,14,CASES
1930,28,IOWA,IA,US,STATE,53,CASES
1930,29,IOWA,IA,US,STATE,9,CASES
1930,30,IOWA,IA,US,STATE,8,CASES
1930,32,IOWA,IA,US,STATE,1,CASES
1930,37,IOWA,IA,US,STATE,2,CASES
1930,38,IOWA,IA,US,STATE,6,CASES
1930,39,IOWA,IA,US,STATE,2,CASES
1930,41,IOWA,IA,US,STATE,4,CASES
1930,42,IOWA,IA,US,STATE,2,CASES
1930,44,IOWA,IA,US,STATE,1,CASES
1930,45,IOWA,IA,US,STATE,2,CASES
